,tf_selection,tf_number,delta_magnitude,v_modulation,beta,tfs,delta,most_similar_cell,cosine_to_most_similar,cosine_to_target,time_to_converge
4492,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zeb1')","(1.0, 1.0, 1.0)",stromal cell,0.995768451,0.621920842,50
4493,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zeb2')","(1.0, 1.0, 1.0)",stromal cell,0.995768448,0.621920819,50
4494,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zfp536')","(1.0, 1.0, 1.0)",stromal cell,0.99576846,0.621920905,50
4495,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zfp612')","(1.0, 1.0, 1.0)",mesothelial cell,0.999999993,0.566076881,50
4496,only,3,1,tmp,50,"('Isl1', 'Plagl1', 'Zfp9')","(1.0, 1.0, 1.0)",stromal cell,0.995768453,0.621920852,50
4497,only,3,1,tmp,50,"('Isl1', 'Pou3f2', 'Rora')","(1.0, 1.0, 1.0)",stromal cell,0.995768401,0.621920473,50
4498,only,3,1,tmp,50,"('Isl1', 'Pou3f2', 'Sox5')","(1.0, 1.0, 1.0)",stromal cell,0.995768454,0.621920864,50
4499,only,3,1,tmp,50,"('Isl1', 'Pou3f2', 'Sox9')","(1.0, 1.0, 1.0)",astrocyte of the cerebral cortex,0.999891994,0.675834893,50
4500,only,3,1,tmp,50,"('Isl1', 'Pou3f2', 'Tcf4')","(1.0, 1.0, 1.0)",fenestrated cell,0.999911503,0.586790909,50
4501,only,3,1,tmp,50,"('Isl1', 'Pou3f2', 'Trps1')","(1.0, 1.0, 1.0)",basal cell of epidermis,0.996710714,0.548741314,50
